City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Upernavik,72.7868,-56.1549,-11.4,93,100,6.13,GL,1675632507
1,San Jeronimo,-11.9472,-75.2829,58.44,63,81,7.36,PE,1675632789
2,Rio Gallegos,-51.6226,-69.2181,62.65,31,75,32.21,AR,1675632726
3,Klaksvik,62.2266,-6.589,47.32,92,100,35.03,FO,1675632790
4,Butaritari,3.0707,172.7902,80.24,83,100,19.15,KI,1675632524
5,Thompson,55.7435,-97.8558,5.16,85,100,5.75,CA,1675632560
6,Camacha,33.0833,-16.3333,58.42,67,40,13.8,PT,1675632793
7,Rikitea,-23.1203,-134.9692,79.05,74,4,15.28,PF,1675632794
8,Sisimiut,66.9395,-53.6735,-3.19,97,100,8.12,GL,1675632574
9,Urbana,40.1106,-88.2073,53.69,52,0,20.71,US,1675632714
10,Ibra,22.6906,58.5334,66.97,56,78,1.7,OM,1675632795
11,Bluff,-46.6,168.3333,58.91,85,57,24.67,NZ,1675632796
12,Lorengau,-2.0226,147.2712,81.21,81,100,3.78,PG,1675632798
13,Luderitz,-26.6481,15.1594,63.46,86,54,13.65,NA,1675632799
14,Vila Franca Do Campo,37.7167,-25.4333,59.41,82,65,7.2,PT,1675632800
15,Cape Town,-33.9258,18.4232,72.01,77,0,20.71,ZA,1675632802
16,Punta Arenas,-53.15,-70.9167,55.51,41,0,28.77,CL,1675632804
17,Kahului,20.8947,-156.47,78.82,75,40,24.16,US,1675632805
18,Yerbogachen,61.2767,108.0108,-33.11,100,99,2.3,RU,1675632807
19,Abu Samrah,35.3029,37.1841,43.81,93,100,7.43,SY,1675632808
20,Malim,7.452,123.4312,77.11,82,100,6.33,PH,1675632809
21,Champoton,19.35,-90.7167,78.04,68,11,12.3,MX,1675632801
22,Ballina,-28.8667,153.5667,73.02,89,55,4.12,AU,1675632811
23,Yellowknife,62.456,-114.3525,-6.45,77,100,9.22,CA,1675632811
24,Barrow,71.2906,-156.7887,-18.38,76,0,4.61,US,1675632804
25,Eyrarbakki,63.863,-21.1481,46.45,73,100,41.03,IS,1675632812
26,Sao Filipe,14.8961,-24.4956,70.34,63,95,16.93,CV,1675632812
27,Manado,1.487,124.8455,75.97,100,40,2.3,ID,1675632814
28,Chicama,-7.8447,-79.1469,79.34,57,37,9.75,PE,1675632814
29,Naze,28.3667,129.4833,63.52,82,100,8.95,JP,1675632815
30,Finschhafen,-6.6024,147.8681,81.91,76,97,3.38,PG,1675632815
31,Port Hedland,-20.3167,118.5667,78.85,83,1,6.91,AU,1675632816
32,Jamestown,42.097,-79.2353,44.24,52,100,14.97,US,1675632768
33,Satwas,22.5333,76.6833,62.98,31,0,4.21,IN,1675632816
34,Busselton,-33.65,115.3333,65.62,82,31,10.09,AU,1675632817
35,Cherskiy,68.75,161.3,-42.16,100,100,4.81,RU,1675632817
36,Kapaa,22.0752,-159.319,79.12,84,75,16.11,US,1675632818
37,Esperance,-33.8667,121.9,68.58,64,64,15.95,AU,1675632818
38,Taltal,-25.4,-70.4833,73.72,70,31,7.14,CL,1675632819
39,Victoria,22.2855,114.1577,67.95,88,100,5.01,HK,1675632560
40,Tiksi,71.6872,128.8694,-26.77,100,100,3.36,RU,1675632665
41,Hami,42.8,93.45,29.28,40,1,3.8,CN,1675632820
42,Sur,22.5667,59.5289,70.65,72,16,6.29,OM,1675632820
43,Buin,-33.7333,-70.75,87.06,38,0,10.8,CL,1675632805
44,Dikson,73.5069,80.5464,-3.03,97,100,1.63,RU,1675632821
45,Ndola,-12.9587,28.6366,60.96,95,100,3.11,ZM,1675632821
46,Tuktoyaktuk,69.4541,-133.0374,-45.4,66,40,4.61,CA,1675632822
47,Touros,-5.1989,-35.4608,80.11,75,92,10.33,BR,1675632822
48,Itoman,26.1247,127.6694,66.22,96,75,12.66,JP,1675632822
49,Airai,-8.9266,125.4092,60.71,90,99,1.63,TL,1675632823
50,New Norfolk,-42.7826,147.0587,62.71,64,100,4.0,AU,1675632823
51,Porto Velho,-8.7619,-63.9039,73.45,94,75,3.44,BR,1675632824
52,Bontang,0.1333,117.5,76.39,88,91,3.8,ID,1675632824
53,Smithers,54.7804,-127.1743,39.52,45,20,11.5,CA,1675632825
54,Grindavik,63.8424,-22.4338,46.35,81,75,49.48,IS,1675632530
55,Udachnyy,66.4167,112.4,-35.88,99,97,1.81,RU,1675632825
56,Tiznit,29.5833,-9.5,51.35,47,25,2.01,MA,1675632818
57,Geraldton,-28.7667,114.6,73.81,73,100,11.5,AU,1675632826
